מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,באר שבע,2,21,216,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.8,1.7,2.1,,1,יהודים,84.8,,19.9,53.8,26.3,22.4,59.1,18.5,18.0,49.7,32.3,951.8,42.0,35.0,49.0,40.3,59.7,47.1,52.9,35.2,64.8,31.3,68.7,3.5,22.7,68.8,5.0,7.5,3.4,18.9,68.2,2.0
237,באר שבע,2,21,221,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.1,1.4,1.7,,1,יהודים,82.3,,18.0,57.3,24.7,21.8,60.1,18.1,15.0,55.1,29.9,829.2,45.0,39.0,49.0,42.8,57.2,49.7,50.3,37.6,62.4,25.7,74.3,9.0,26.5,58.5,6.0,6.3,3.8,18.9,67.7,3.4
238,באר שבע,2,22,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,13.4,6.5,7.0,,1,יהודים,85.8,,24.4,63.2,12.4,26.4,62.6,11.0,22.5,63.8,13.7,673.7,34.0,31.0,37.0,51.0,49.0,54.0,46.0,48.3,51.7,44.8,55.2,7.5,25.7,63.1,3.6,14.5,5.5,31.8,45.1,3.1
239,באר שבע,2,22,222,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.2,1.5,1.7,,1,יהודים,81.6,,22.5,61.3,16.2,25.3,61.0,13.7,20.1,61.5,18.4,727.2,35.0,32.0,38.0,43.2,56.8,47.5,52.5,39.6,60.4,35.6,64.4,4.5,29.1,60.4,6.0,10.7,4.4,31.1,48.2,5.6
240,באר שבע,2,22,223,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.7,1.3,1.4,,1,יהודים,87.6,,23.9,63.6,12.5,25.5,62.8,11.7,22.3,64.4,13.3,647.6,35.0,31.0,38.0,54.7,45.3,58.3,41.7,51.6,48.4,49.7,50.3,13.7,29.9,53.4,3.1,14.9,6.3,37.1,39.5,2.3
241,באר שבע,2,22,224,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.2,1.1,1.1,,1,יהודים,88.4,,26.5,63.9,9.6,29.4,61.7,8.9,23.7,66.0,10.3,665.9,31.0,28.0,34.0,51.6,48.4,52.8,47.2,50.4,49.6,51.8,48.2,11.2,22.6,64.1,2.1,18.4,6.9,35.5,36.9,2.3
242,באר שבע,2,22,225,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.8,1.8,1.9,,1,יהודים,86.4,,25.3,63.5,11.2,26.1,63.9,9.9,24.5,63.1,12.4,670.8,34.0,31.0,36.0,53.3,46.7,55.5,44.5,51.2,48.8,44.2,55.8,3.8,24.1,68.8,3.3,13.6,4.7,31.4,48.0,2.3
243,באר שבע,2,22,226,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.6,0.8,0.8,,1,יהודים,85.9,,23.8,65.0,11.2,26.4,63.8,9.8,21.4,66.2,12.5,631.4,36.0,32.0,40.0,54.6,45.4,57.5,42.5,52.0,48.0,45.6,54.4,9.2,19.4,69.8,1.7,18.0,6.1,19.8,53.8,2.4
244,באר שבע,3,,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,14.2,7.0,7.3,,1,יהודים,90.6,,27.6,63.0,9.4,28.4,62.9,8.7,26.9,63.0,10.1,674.0,34.0,33.0,34.0,59.2,40.8,61.2,38.8,57.3,42.7,52.8,47.2,8.0,23.3,67.2,1.6,19.1,6.1,22.8,50.8,1.2
245,באר שבע,3,31,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,14.2,7.0,7.3,,1,יהודים,90.6,,27.6,63.0,9.4,28.4,62.9,8.7,26.9,63.0,10.1,674.0,34.0,33.0,34.0,59.2,40.8,61.2,38.8,57.3,42.7,52.8,47.2,8.0,23.3,67.2,1.6,19.1,6.1,22.8,50.8,1.2
246,באר שבע,3,31,234+314,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.8,1.4,1.4,,1,יהודים,95.4,,28.0,64.7,7.4,28.3,64.1,7.6,27.7,65.2,7.1,644.5,32.0,30.0,33.0,58.8,41.2,58.7,41.3,59.0,41.0,62.5,37.5,17.4,37.5,44.7,0.4,23.1,8.2,31.6,36.2,0.9
247,באר שבע,3,31,311,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.6,1.7,1.8,,1,יהודים,89.2,,26.9,64.9,8.2,27.2,64.8,8.0,26.6,65.0,8.4,615.4,31.0,31.0,32.0,58.8,41.2,60.6,39.4,57.1,42.9,53.1,46.9,7.6,24.3,66.4,1.8,17.5,5.9,23.7,51.3,1.6
248,באר שבע,3,31,312,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.8,2.3,2.5,,1,יהודים,88.8,,27.6,61.8,10.6,28.5,62.1,9.5,26.7,61.6,11.7,698.7,35.0,35.0,36.0,58.8,41.2,61.5,38.5,56.3,43.7,49.5,50.5,5.2,17.3,75.5,1.9,19.4,5.9,19.4,54.3,1.0
249,באר שבע,3,31,313,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.2,1.5,1.6,,1,יהודים,90.6,,28.2,61.0,10.8,29.8,61.0,9.3,26.8,61.0,12.2,734.2,35.0,34.0,36.0,60.6,39.4,63.7,36.3,57.6,42.4,48.5,51.5,6.1,21.4,71.0,1.6,16.6,4.8,18.8,58.4,1.4
250,באר שבע,4,,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,51.8,24.9,26.9,,1,יהודים,90.5,,28.9,60.6,10.5,30.6,60.2,9.2,27.4,61.0,11.6,731.3,31.0,30.0,32.0,56.1,43.9,59.2,40.8,53.4,46.6,62.2,37.8,15.7,30.0,47.2,7.1,27.3,7.4,27.1,33.2,5.0
251,באר שבע,4,41,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,23.9,11.5,12.4,,1,יהודים,90.0,,33.3,59.5,7.2,34.9,58.6,6.5,31.9,60.3,7.8,743.7,29.0,29.0,30.0,61.2,38.8,64.4,35.6,58.4,41.6,65.7,34.3,10.0,22.3,62.0,5.8,30.3,6.8,24.9,34.3,3.8
252,באר שבע,4,41,411,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.0,0.5,0.5,,1,יהודים,98.9,,30.5,68.2,1.2,29.9,68.9,1.2,31.2,67.5,1.3,517.6,25.0,23.0,25.0,49.7,50.3,47.2,52.8,52.2,47.8,82.4,17.6,13.5,46.4,29.6,10.5,34.9,9.5,35.0,17.7,3.0
253,באר שבע,4,41,412,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.6,1.3,1.4,,1,יהודים,82.3,,25.3,64.5,10.1,27.6,63.3,9.1,23.3,65.7,11.0,608.5,34.0,32.0,36.0,54.1,45.9,58.3,41.7,50.5,49.5,48.0,52.0,6.8,13.6,73.6,5.9,18.4,5.9,21.8,50.7,3.1
254,באר שבע,4,41,413,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,7.1,3.4,3.8,,1,יהודים,86.9,,30.3,60.1,9.7,31.8,59.9,8.3,28.9,60.2,10.9,729.3,31.0,29.0,32.0,56.2,43.8,60.4,39.6,52.7,47.3,55.8,44.2,7.0,16.6,72.1,4.3,24.0,5.5,21.6,45.9,3.0
255,באר שבע,4,41,414,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,6.6,3.2,3.4,,1,יהודים,92.5,,36.1,57.8,6.1,37.1,57.2,5.7,35.2,58.4,6.4,790.0,30.0,30.0,30.0,67.8,32.2,71.3,28.7,64.6,35.4,70.7,29.3,11.6,29.2,52.5,6.6,33.5,6.8,25.3,30.0,4.5
256,באר שבע,4,41,415,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,6.5,3.2,3.3,,1,יהודים,92.9,,37.5,57.2,5.3,39.6,55.4,5.0,35.6,59.0,5.5,814.5,27.0,27.0,28.0,65.8,34.2,67.8,32.2,63.9,36.1,74.7,25.3,15.3,28.1,49.7,6.9,37.2,7.8,27.3,23.4,4.3
257,באר שבע,4,42,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,15.1,7.4,7.7,,1,יהודים,94.5,,27.1,63.6,9.3,28.1,62.9,9.0,26.0,64.3,9.6,675.7,32.0,30.0,34.0,55.4,44.6,57.2,42.8,53.7,46.3,65.6,34.4,22.3,45.3,27.9,4.6,27.6,8.9,31.7,26.7,5.1
258,באר שבע,4,42,421,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,5.7,2.9,2.8,,1,יהודים,98.9,,27.0,68.7,4.3,26.3,68.9,4.8,27.7,68.5,3.8,573.7,29.0,29.0,29.0,58.5,41.5,57.4,42.6,59.6,40.4,74.5,25.5,38.9,52.0,8.4,0.6,31.4,11.8,40.6,15.1,1.0
259,באר שבע,4,42,422,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,5.0,2.4,2.5,,1,יהודים,95.0,,29.5,60.9,9.6,31.0,60.0,9.0,28.0,61.8,10.2,749.3,32.0,30.0,34.0,56.6,43.4,59.0,41.0,54.3,45.7,64.8,35.2,18.1,42.1,35.1,4.8,27.8,7.3,29.0,29.1,6.8
260,באר שבע,4,42,423,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.5,2.1,2.4,,1,יהודים,88.5,,24.5,60.3,15.3,27.2,58.2,14.6,22.0,62.1,15.9,736.8,34.0,32.0,36.0,50.3,49.7,54.9,45.1,46.5,53.5,54.0,46.0,13.1,43.0,36.5,7.5,22.0,6.5,22.4,40.2,8.9
261,באר שבע,4,43,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,12.7,6.0,6.8,,1,יהודים,86.4,,22.9,59.1,18.0,25.3,59.8,14.9,20.7,58.5,20.8,777.7,35.0,32.0,39.0,48.6,51.4,53.0,47.0,45.0,55.0,50.8,49.2,17.6,26.5,44.7,11.3,21.0,6.9,25.4,39.4,7.3
262,באר שבע,4,43,431,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,89.8,,31.1,57.7,11.2,32.9,56.1,11.0,29.4,59.2,11.4,822.5,30.0,29.0,31.0,56.6,43.4,59.5,40.5,54.0,46.0,63.3,36.7,23.2,32.3,24.9,19.6,30.1,7.9,21.8,26.4,13.9
263,באר שבע,4,43,432,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.9,1.8,2.1,,1,יהודים,82.8,,18.6,66.0,15.4,21.0,66.2,12.8,16.5,65.8,17.7,581.4,33.0,30.0,36.0,45.3,54.7,49.2,50.8,42.2,57.8,47.8,52.2,12.7,26.5,53.5,7.3,17.9,4.6,25.1,47.7,4.7
264,באר שבע,4,43,433,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.7,0.8,0.9,,1,יהודים,83.1,,21.1,62.6,16.3,24.2,62.4,13.5,18.3,62.9,18.8,687.2,41.0,36.0,44.0,43.9,56.1,48.7,51.3,39.9,60.1,38.1,61.9,7.4,30.5,55.2,6.9,9.6,6.3,22.4,58.1,3.6
265,באר שבע,4,43,434,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.3,2.0,2.3,,1,יהודים,88.7,,21.9,52.3,25.8,24.1,55.5,20.3,20.0,49.6,30.4,1015.0,41.0,36.0,45.0,48.9,51.1,54.1,45.9,44.6,55.4,49.4,50.6,23.7,21.7,42.0,12.5,21.7,8.3,29.4,34.4,6.3
266,באר שבע,5,,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,17.8,8.7,9.1,,1,יהודים,90.7,,21.1,65.3,13.7,22.0,66.6,11.4,20.2,64.0,15.8,601.5,31.0,29.0,33.0,47.3,52.7,47.7,52.3,46.9,53.1,63.5,36.5,33.1,28.1,33.6,5.2,27.5,11.7,32.3,25.5,3.1
267,באר שבע,5,51,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,9.0,4.3,4.6,,1,יהודים,90.5,,17.7,66.1,16.2,18.9,67.5,13.6,16.5,64.8,18.7,569.9,32.0,29.0,35.0,45.7,54.3,46.4,53.6,45.0,55.0,58.2,41.8,28.6,28.8,38.9,3.8,23.8,8.3,31.8,32.4,3.7
268,באר שבע,5,51,511,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.3,1.0,1.3,,1,יהודים,79.2,,19.4,63.2,17.4,21.6,64.7,13.7,17.6,62.0,20.4,658.2,40.0,36.0,45.0,45.5,54.5,50.8,49.2,41.3,58.7,31.8,68.2,5.9,22.0,68.4,3.8,8.9,4.0,14.5,70.8,1.8
269,באר שבע,5,51,512,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.4,1.7,1.7,,1,יהודים,93.1,,18.9,64.2,16.9,19.3,65.9,14.8,18.6,62.5,18.9,611.0,29.0,28.0,30.0,45.2,54.8,44.5,55.5,45.9,54.1,63.3,36.7,45.7,27.2,24.9,2.2,27.0,8.3,42.6,19.3,2.8
270,באר שבע,5,51,513,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.3,1.6,1.7,,1,יהודים,95.8,,15.2,70.0,14.8,16.7,70.8,12.5,13.7,69.3,17.0,476.6,30.0,28.0,32.0,46.2,53.8,45.7,54.3,46.7,53.3,68.3,31.7,36.9,39.1,18.5,5.5,29.2,10.8,30.9,23.4,5.6
271,באר שבע,5,52,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,8.8,4.4,4.4,,1,יהודים,90.9,,24.5,64.5,11.0,25.1,65.7,9.2,23.9,63.2,12.8,635.2,30.0,29.0,31.0,49.0,51.0,49.1,50.9,49.0,51.0,68.9,31.1,39.2,27.2,26.4,7.2,31.2,15.0,32.8,18.4,2.6
272,באר שבע,5,52,521,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.6,1.3,1.3,,1,יהודים,90.4,,20.5,68.2,11.4,21.0,70.2,8.8,19.9,66.1,13.9,525.0,30.0,29.0,33.0,45.9,54.1,46.1,53.9,45.8,54.2,67.3,32.7,38.6,24.1,31.2,6.1,28.6,17.3,32.0,20.0,2.0
273,באר שבע,5,52,522,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,91.6,,26.4,62.8,10.7,26.8,64.1,9.1,26.1,61.6,12.3,684.5,30.0,29.0,31.0,52.4,47.6,52.2,47.8,52.6,47.4,70.1,29.9,41.9,25.4,27.0,5.7,32.8,15.8,33.5,16.4,1.5
274,באר שבע,5,52,523,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.3,1.7,1.7,,1,יהודים,90.6,,25.9,63.1,11.0,26.7,63.8,9.5,25.2,62.4,12.5,685.2,30.0,29.0,31.0,48.7,51.3,48.7,51.3,48.6,51.4,69.0,31.0,37.4,31.3,21.9,9.4,31.9,12.7,32.7,18.8,3.9
275,באר שבע,6,,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,49.9,24.9,25.0,,1,יהודים,90.1,,25.8,64.2,10.0,26.4,64.7,8.8,25.2,63.6,11.2,642.3,29.0,29.0,30.0,52.7,47.3,52.6,47.4,52.8,47.2,66.2,33.8,24.0,26.6,44.4,5.1,28.7,9.9,29.8,28.9,2.7
276,באר שבע,6,61,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,13.5,6.7,6.7,,1,יהודים,90.3,,25.7,61.2,13.1,26.7,62.0,11.3,24.7,60.4,15.0,742.5,32.0,30.0,35.0,52.5,47.5,53.1,46.9,51.9,48.1,61.9,38.1,28.7,22.3,44.2,4.8,26.6,8.2,28.8,33.4,3.1
277,באר שבע,6,61,611,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.7,1.8,1.8,,1,יהודים,91.4,,21.1,66.7,12.1,20.7,68.7,10.6,21.6,64.8,13.6,628.5,30.0,28.0,33.0,49.3,50.7,48.9,51.1,49.6,50.4,65.5,34.5,34.8,35.6,21.9,7.8,26.5,8.1,29.9,31.7,3.9
278,באר שבע,6,61,612,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.0,1.5,1.5,,1,יהודים,86.8,,28.7,58.5,12.8,29.0,61.1,9.9,28.3,56.0,15.7,797.6,30.0,30.0,32.0,48.0,52.0,48.2,51.8,47.8,52.2,64.4,35.6,39.2,23.7,28.8,8.4,26.9,6.1,41.7,19.8,5.4
279,באר שבע,6,61,613,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.5,2.3,2.2,,1,יהודים,96.3,,30.4,60.7,8.9,31.9,59.6,8.6,28.8,61.9,9.3,752.0,30.0,29.0,32.0,57.7,42.3,57.1,42.9,58.4,41.6,75.6,24.4,51.5,35.1,12.0,1.4,36.2,12.5,30.9,18.2,2.3
280,באר שבע,6,61,614,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.2,1.1,1.2,,1,יהודים,81.0,,19.6,56.6,23.8,22.3,57.1,20.6,17.2,56.2,26.6,859.7,45.0,42.0,48.0,54.0,46.0,58.9,41.1,49.8,50.2,19.2,80.8,0.5,1.8,95.0,2.6,3.1,1.0,2.9,92.7,0.3
281,באר שבע,6,62,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.3,0.6,0.7,,1,יהודים,85.0,,13.6,63.9,22.5,13.9,69.3,16.8,13.3,59.0,27.7,616.4,38.0,34.0,42.0,38.2,61.8,39.3,60.7,37.2,62.8,49.1,50.9,29.9,27.2,34.8,8.2,17.2,9.8,34.2,33.8,4.9
282,באר שבע,6,62,622+623,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.3,0.6,0.7,,1,יהודים,85.0,,13.6,63.9,22.5,13.9,69.3,16.8,13.3,59.0,27.7,616.4,38.0,34.0,42.0,38.2,61.8,39.3,60.7,37.2,62.8,49.1,50.9,29.9,27.2,34.8,8.2,17.2,9.8,34.2,33.8,4.9
283,באר שבע,6,63,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,13.0,6.5,6.5,,1,יהודים,80.8,,15.5,69.8,14.7,15.6,72.2,12.2,15.3,67.5,17.2,492.7,29.0,28.0,29.0,38.1,61.9,37.0,63.0,39.1,60.9,54.4,45.6,21.2,17.0,53.7,8.1,21.7,14.1,27.1,34.7,2.5
284,באר שבע,6,63,631,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.8,2.3,2.5,,1,יהודים,84.4,,14.5,65.0,20.6,14.7,67.7,17.6,14.2,62.4,23.4,585.8,36.0,34.0,39.0,46.1,53.9,47.5,52.5,44.8,55.2,51.0,49.0,21.3,12.6,60.9,5.3,19.3,16.3,23.2,39.0,2.2
285,באר שבע,6,63,632,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.3,2.1,2.2,,1,יהודים,81.4,,18.9,68.5,12.6,19.9,69.4,10.7,17.9,67.6,14.5,503.2,28.0,28.0,29.0,39.7,60.3,39.4,60.6,40.0,60.0,57.9,42.1,29.3,24.0,39.5,7.2,21.8,14.4,32.5,28.5,2.7
286,באר שבע,6,63,633,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.5,1.2,1.2,,1,יהודים,74.6,,19.8,65.0,15.1,19.8,67.3,12.9,19.9,62.7,17.4,570.8,31.0,31.0,30.0,41.1,58.9,38.5,61.5,43.7,56.3,49.0,51.0,16.6,19.6,46.8,17.0,19.8,11.9,33.6,32.6,2.1
287,באר שבע,6,63,634,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.4,0.8,0.6,,1,יהודים,77.3,,0.4,99.6,,0.4,99.6,,0.4,99.6,,,23.0,23.0,22.0,4.9,95.1,4.1,95.9,6.2,93.8,65.1,34.9,,5.9,89.8,4.3,33.5,8.7,12.5,42.1,3.1
288,באר שבע,6,64,,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,22.2,11.1,11.1,,1,יהודים,95.9,,32.7,62.7,4.6,33.4,61.7,4.9,32.0,63.7,4.3,683.7,28.0,28.0,28.0,64.2,35.8,64.2,35.8,64.2,35.8,75.5,24.5,21.8,39.0,37.0,2.2,34.1,8.9,31.4,23.2,2.4
289,באר שבע,6,64,641,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.9,1.5,1.5,,1,יהודים,93.5,,27.1,65.6,7.4,26.7,65.8,7.5,27.4,65.3,7.3,631.5,30.0,30.0,32.0,57.6,42.4,57.6,42.4,57.6,42.4,62.9,37.1,14.1,33.1,51.8,0.9,23.7,8.0,29.9,34.8,3.6
